전경련BSI,주택매매가격,건설BSI(전망),"실업률(계절조정,%)",어음부도율,일별수출액YoY,내국인출국자수YoY,코스피 200 변동성지수,통안채 364일,공사채 AAA 3년,은행채 AAA 3년,국고채5년 - CD,국고채10년 - 통안채1년,은행채AAA3년 - 국고채3년,회사채AA-3년 - 국고채3년,내국인출국자수,한국(OECD),GDP서비스업,설비투자,건설투자,재화수출,내수,GDP디플레이터,총저축률,총투자율,Reuter CRB(EW)상품선물지수,Reuter CRB(EW)에너지지수,Reuter CRB(EW)산업지수,Reuter CRB(EW)귀금속지수,코스피지수
107.7,79.56,97.4,3.5,0.03,15.78,8.05,16.84,4.95,4.83,4.85,0.14,0.11,0.14,0.2,907921,3.67,0.8,5.6,-1.4,4.1,1.7,0.1,33.2,34,394.9,539,368.8,611.9,1352.7
103.5,80.26,79.4,3.3,0.03,21.29,19.32,14.68,5.03,4.94,4.97,0.07,0.03,0.15,0.2,931774,3.54,0.8,5.6,2.1,-3.9,1.7,-0.1,32.8,34,394.4,513.7,345.7,635.9,1371.4
104.3,80.55,79.3,3.3,0.02,18.49,16.71,15.4,4.93,5.1,5.11,-0.06,0.03,0.19,0.25,1195496,3.43,1,-0.4,2.1,-3.9,1.9,-0.1,32.8,31.9,410.6,581.9,353.1,664.6,1364.6
101.4,80.7,81.7,3.2,0.02,22.24,27.63,17.99,4.86,5.17,5.19,-0.14,0.07,0.17,0.24,905131,3.4,1,-0.4,2.1,-3.9,1.9,-0.1,32.8,31.9,407.5,624,377,650.3,1432.2
96.5,80.8,79.2,3.2,0.01,13.24,30.76,20.38,5.08,5.05,5.06,0.06,0.07,0.2,0.31,961462,3.49,1,-0.4,4.1,6.8,1.9,1.8,33,31.9,403.5,644.6,391.3,663.6,1434.5
93.4,80.83,86.8,3.2,0.02,18.32,31.44,19.64,5.1,5,5.02,0.15,0.22,0.26,0.38,904119,3.72,1.8,2.6,4.1,6.8,1,1.8,33,33,407.6,624.8,390.6,655.6,1360.2
112.3,80.94,92.2,3.3,0.02,15.62,3.11,18.99,5.19,5.24,5.26,0.38,0.32,0.21,0.36,1019279,4.05,1.8,2.6,4.1,6.8,1,1.8,33,33,410.4,661.9,430.8,633.1,1417.3
107.7,81.15,78.2,3.2,0.03,14.47,28.46,18.59,5.26,5.33,5.36,0.18,0.11,0.19,0.32,978612,4.45,1.8,2.6,-1.5,4.1,1,2.6,33.1,33,424.5,676.4,449.3,654,1452.6
110.9,81.3,79,3.3,0.02,8.75,15.81,19.95,5.39,5.44,5.46,0.18,0.18,0.2,0.34,1208261,4.85,1.2,5.4,-1.5,4.1,1,2.6,33.1,33.5,413.5,647.5,420.6,636.6,1542.2
105.6,81.52,82.3,3.2,0.02,17.04,23.19,27.71,5.44,5.41,5.47,0.17,0.16,0.25,0.37,1219033,5.17,1.2,5.4,-1.5,4.1,1,2.6,33.1,33.5,447.6,697,449.9,706.9,1700.9
